시설명,시설위도,시설경도,시설기본주소,영업상태구분명,복지관리시설구분코드
주명물산,37.74259374,127.0834845,경기도 의정부시 산단로68번길 161,영업,17
지테크인터네셔널,37.74158015,127.079849,경기도 의정부시 산단로68번길 29,영업,17
파티쇼,37.74151594,127.0804687,경기도 의정부시 산단로68번길 33,영업,17
HS인터네셔널,37.74113296,127.0812152,경기도 의정부시 산단로68번길 39,영업,17
리배도,37.74079519,127.0809487,경기도 의정부시 산단로68번길 47,영업,17
진메이드,37.74066056,127.0812498,경기도 의정부시 산단로68번길 51(용현동),영업,17
SAMSEON,37.74044857,127.0809859,경기도 의정부시 산단로68번길 55,영업,17
(주)케이디지,37.74266198,127.0792527,경기도 의정부시 산단로76번길 29,영업,17
대성정밀,37.74188395,127.0798575,경기도 의정부시 산단로76번길 32,영업,17
(주)진양코퍼레이션,37.7430257,127.0800516,경기도 의정부시 산단로76번길 39,영업,17
한단컴퍼니,37.7429303,127.0803006,경기도 의정부시 산단로76번길 47,영업,17
(주)GFS,37.74208728,127.0813369,경기도 의정부시 산단로76번길 56,영업,17
해동무역,37.74238492,127.0824273,경기도 의정부시 산단로76번길 80,영업,17
신한진그랑빌,37.74911724,127.0453174,경기도 의정부시 평화로 640,영업,17
신한진그랑빌,37.74925114,127.0452818,경기도 의정부시 평화로 642,영업,17
신한진그랑빌 101,37.749391,127.0452127,경기도 의정부시 평화로 644,영업,17
양지하이츠빌,37.31362922,127.4318944,경기도 이천시 신둔면 원적로322번길 167-41,영업,17
오산리기도원 실로암성전,37.77811991,126.8337781,경기도 파주시 조리읍 등원로391번길 82,영업,17
삼성타운,37.73019711,126.8090122,경기도 파주시 조리읍 만선골길 25-11,영업,17
청우골드라인,37.73013081,126.8086841,경기도 파주시 조리읍 만선골길 25-12,영업,17
삼성타운,37.73051351,126.8088286,경기도 파주시 조리읍 만선골길 25-3,영업,17
청우골드라인,37.73033092,126.8082986,경기도 파주시 조리읍 만선골길 25-6,영업,17
삼성타운,37.73035213,126.8089343,경기도 파주시 조리읍 만선골길 25-7,영업,17
팽성유치원,36.96594678,127.0654078,경기도 평택시 동서촌로 129번길 16,영업,17
일반음식점,36.964343,127.0549731,경기도 평택시 동서촌로 27 (팽성읍),영업,17
일반음식점,36.96437125,127.0580954,경기도 평택시 동서촌로 54,영업,17
다세대주택,36.9624342,127.05346,경기도 평택시 동서촌로 6-6 (팽성읍),영업,17
주차장,37.55251608,127.2094441,경기도 하남시 덕풍북로 192,영업,17
대명세라뷰아파트,37.55159944,127.2108421,경기도 하남시 덕풍북로 210,영업,17
동원베네스트,37.54979186,127.2110433,경기도 하남시 덕풍북로 236,영업,17
노인복지시설,37.54854032,127.1992512,경기도 하남시 덕풍북로 26-3,영업,17
